run_name,mass,metallicity,scheme,fov,f0,final_age_Myr,log_Teff,log_L,he_core_mass,core_radius
inlist_M2_Z0.0140_noovs,2.0,0.014,none,0.0,0.0,511.87,3.937,1.315,0.05131,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.001,15.0,0.0014,exponential,0.01,0.001,11.66,4.483,4.713,3.84205,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.005,15.0,0.0014,exponential,0.01,0.005,11.68,4.482,4.715,3.84205,NA
inlist_M15_Z0.0014_exponential_fov0.01_f00.010,15.0,0.0014,exponential,0.01,0.01,11.66,4.483,4.714,3.83588,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.001,15.0,0.0014,exponential,0.03,0.001,12.92,4.454,4.807,4.90241,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.005,15.0,0.0014,exponential,0.03,0.005,13.01,4.452,4.814,5.00405,NA
inlist_M15_Z0.0014_exponential_fov0.03_f00.01,15.0,0.0014,exponential,0.03,0.01,13.01,4.451,4.814,4.99811,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.001,15.0,0.0014,exponential,0.1,0.001,15.66,4.325,5.069,8.35196,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.005,15.0,0.0014,exponential,0.1,0.005,15.87,4.31,5.09,8.70612,NA
inlist_M15_Z0.0014_exponential_fov0.10_f00.01,15.0,0.0014,exponential,0.1,0.01,15.9,4.307,5.094,8.74989,NA
inlist_M15_Z0.0014_noovs,15.0,0.0014,none,0.0,0.0,8.69,4.512,4.539,1.86152,NA
inlist_M15_Z0.0014_step_fov0.02_f00.001,15.0,0.0014,step,0.02,0.001,10.84,4.497,4.663,3.29742,NA
inlist_M15_Z0.0014_step_fov0.02_f00.005,15.0,0.0014,step,0.02,0.005,10.67,4.499,4.652,3.19827,NA
inlist_M15_Z0.0014_step_fov0.02_f00.01,15.0,0.0014,step,0.02,0.01,10.16,4.505,4.621,2.79617,NA
inlist_M15_Z0.0014_step_fov0.04_f00.001,15.0,0.0014,step,0.04,0.001,11.22,4.491,4.685,3.48643,NA
inlist_M15_Z0.0014_step_fov0.04_f00.005,15.0,0.0014,step,0.04,0.005,11.18,4.492,4.683,3.48333,NA
inlist_M15_Z0.0014_step_fov0.04_f00.01,15.0,0.0014,step,0.04,0.01,11.12,4.493,4.679,3.44616,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.001,15.0,0.014,exponential,0.01,0.001,12.08,4.409,4.662,3.63083,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.005,15.0,0.014,exponential,0.01,0.005,12.1,4.409,4.664,3.62464,NA
inlist_M15_Z0.0140_exponential_fov0.01_f00.010,15.0,0.014,exponential,0.01,0.01,12.08,4.409,4.662,3.63083,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.001,15.0,0.014,exponential,0.03,0.001,13.46,4.367,4.754,4.63481,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.005,15.0,0.014,exponential,0.03,0.005,13.56,4.363,4.762,4.75544,NA
inlist_M15_Z0.0140_exponential_fov0.03_f00.01,15.0,0.014,exponential,0.03,0.01,13.57,4.363,4.762,4.74938,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.001,15.0,0.014,exponential,0.1,0.001,16.51,4.12,5.02,7.99786,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.005,15.0,0.014,exponential,0.1,0.005,16.73,4.081,5.042,8.33583,NA
inlist_M15_Z0.0140_exponential_fov0.10_f00.01,15.0,0.014,exponential,0.1,0.01,16.79,4.067,5.048,8.4103,NA
inlist_M15_Z0.0140_noovs,15.0,0.014,none,0.0,0.0,8.45,4.45,4.473,1.62305,NA
inlist_M15_Z0.0140_step_fov0.10_f00.001,15.0,0.014,step,0.1,0.001,12.06,4.409,4.661,3.63702,NA
inlist_M15_Z0.0140_step_fov0.10_f00.005,15.0,0.014,step,0.1,0.005,12.03,4.41,4.659,3.5814,NA
inlist_M15_Z0.0140_step_fov0.10_f00.01,15.0,0.014,step,0.1,0.01,12.0,4.411,4.657,3.55667,NA
inlist_M15_Z0.0140_step_fov0.30_f00.001,15.0,0.014,step,0.3,0.001,13.49,4.365,4.756,4.70727,NA
inlist_M15_Z0.0140_step_fov0.30_f00.005,15.0,0.014,step,0.3,0.005,13.47,4.366,4.755,4.68316,NA
inlist_M15_Z0.0140_step_fov0.30_f00.01,15.0,0.014,step,0.3,0.01,13.43,4.368,4.752,4.65602,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,2.0,0.0014,exponential,0.01,0.001,596.89,4.066,1.821,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,2.0,0.0014,exponential,0.01,0.005,598.35,4.066,1.822,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,2.0,0.0014,exponential,0.01,0.01,596.91,4.066,1.821,0.21946,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,2.0,0.0014,exponential,0.03,0.001,722.53,4.035,1.951,0.32538,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,2.0,0.0014,exponential,0.03,0.005,732.06,4.032,1.963,0.33128,NA
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,2.0,0.0014,exponential,0.03,0.01,732.9,4.032,1.964,0.33495,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.001,2.0,0.0014,exponential,0.1,0.001,1008.39,3.896,2.538,0.8387,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.005,2.0,0.0014,exponential,0.1,0.005,1023.13,3.89,2.581,0.87664,NA
inlist_M2_Z0.0014_exponential_fov0.10_f00.01,2.0,0.0014,exponential,0.1,0.01,1027.17,3.891,2.596,0.89067,NA
inlist_M2_Z0.0014_noovs,2.0,0.0014,none,0.0,0.0,337.22,4.079,1.61,0.05751,NA
inlist_M2_Z0.0014_step_fov0.02_f00.001,2.0,0.0014,step,0.02,0.001,412.88,4.08,1.67,0.1033,NA
inlist_M2_Z0.0014_step_fov0.02_f00.005,2.0,0.0014,step,0.02,0.005,390.02,4.078,1.648,0.08167,NA
inlist_M2_Z0.0014_step_fov0.02_f00.01,2.0,0.0014,step,0.02,0.01,370.31,4.079,1.633,0.07121,NA
inlist_M2_Z0.0014_step_fov0.04_f00.001,2.0,0.0014,step,0.04,0.001,544.73,4.074,1.776,0.19185,NA
inlist_M2_Z0.0014_step_fov0.04_f00.005,2.0,0.0014,step,0.04,0.005,540.89,4.074,1.773,0.18807,NA
inlist_M2_Z0.0014_step_fov0.04_f00.01,2.0,0.0014,step,0.04,0.01,480.52,4.082,1.725,0.1605,NA
inlist_M2_Z0.0140_exponential_fov0.01_f00.001,2.0,0.014,exponential,0.01,0.001,1016.77,3.901,1.511,0.20061,NA
inlist_M2_Z0.0140_exponential_fov0.01_f00.005,2.0,0.014,exponential,0.01,0.005,1019.93,3.9,1.512,0.20367,NA
inlist_M2_Z0.0140_exponential_fov0.01_f00.010,2.0,0.014,exponential,0.01,0.01,1017.01,3.901,1.511,0.20061,NA
inlist_M2_Z0.0140_exponential_fov0.03_f00.001,2.0,0.014,exponential,0.03,0.001,1227.6,3.854,1.596,0.27301,NA
inlist_M2_Z0.0140_exponential_fov0.03_f00.005,2.0,0.014,exponential,0.03,0.005,1242.55,3.852,1.607,0.2826,NA
inlist_M2_Z0.0140_exponential_fov0.03_f00.01,2.0,0.014,exponential,0.03,0.01,1244.73,3.851,1.608,0.2826,NA
inlist_M2_Z0.0140_exponential_fov0.10_f00.001,2.0,0.014,exponential,0.1,0.001,1716.32,3.703,2.102,0.68195,NA
inlist_M2_Z0.0140_exponential_fov0.10_f00.005,2.0,0.014,exponential,0.1,0.005,1737.63,3.698,2.159,0.72564,NA
inlist_M2_Z0.0140_exponential_fov0.10_f00.01,2.0,0.014,exponential,0.1,0.01,1742.39,3.697,2.175,0.73799,NA
inlist_M2_Z0.0140_step_fov0.10_f00.001,2.0,0.014,step,0.1,0.001,1006.95,3.903,1.508,0.19719,NA
inlist_M2_Z0.0140_step_fov0.10_f00.005,2.0,0.014,step,0.1,0.005,1003.81,3.903,1.507,0.19719,NA
inlist_M2_Z0.0140_step_fov0.10_f00.01,2.0,0.014,step,0.1,0.01,996.67,3.905,1.505,0.19453,NA
inlist_M2_Z0.0140_step_fov0.30_f00.001,2.0,0.014,step,0.3,0.001,1197.96,3.862,1.582,0.26384,NA
inlist_M2_Z0.0140_step_fov0.30_f00.005,2.0,0.014,step,0.3,0.005,1194.84,3.863,1.581,0.25907,NA
inlist_M2_Z0.0140_step_fov0.30_f00.01,2.0,0.014,step,0.3,0.01,1188.31,3.865,1.578,0.26026,NA
inlist_M30_Z0.0014_exponential_fov0.01_f00.001,30.0,0.0014,exponential,0.01,0.001,5.71,4.546,5.434,11.09424,NA
inlist_M30_Z0.0014_exponential_fov0.01_f00.005,30.0,0.0014,exponential,0.01,0.005,5.72,4.545,5.435,11.18678,NA
inlist_M30_Z0.0014_exponential_fov0.01_f00.010,30.0,0.0014,exponential,0.01,0.01,5.71,4.546,5.434,11.11729,NA
inlist_M30_Z0.0014_exponential_fov0.03_f00.001,30.0,0.0014,exponential,0.03,0.001,6.1,4.493,5.495,13.24997,NA
inlist_M30_Z0.0014_exponential_fov0.03_f00.005,30.0,0.0014,exponential,0.03,0.005,6.13,4.488,5.501,13.38002,NA
inlist_M30_Z0.0014_exponential_fov0.03_f00.01,30.0,0.0014,exponential,0.03,0.01,6.14,4.488,5.502,13.46644,NA
inlist_M30_Z0.0014_exponential_fov0.10_f00.001,30.0,0.0014,exponential,0.1,0.001,6.95,4.085,5.67,19.3661,NA
inlist_M30_Z0.0014_exponential_fov0.10_f00.005,30.0,0.0014,exponential,0.1,0.005,7.01,3.95,5.684,19.969,NA
inlist_M30_Z0.0014_exponential_fov0.10_f00.01,30.0,0.0014,exponential,0.1,0.01,7.02,3.906,5.687,20.06813,NA
inlist_M30_Z0.0014_noovs,30.0,0.0014,none,0.0,0.0,4.83,4.608,5.317,7.26331,NA
inlist_M30_Z0.0014_step_fov0.02_f00.001,30.0,0.0014,step,0.02,0.001,5.46,4.566,5.4,10.02902,NA
inlist_M30_Z0.0014_step_fov0.02_f00.005,30.0,0.0014,step,0.02,0.005,5.4,4.571,5.392,9.88679,NA
inlist_M30_Z0.0014_step_fov0.02_f00.01,30.0,0.0014,step,0.02,0.01,5.24,4.583,5.372,9.31414,NA
inlist_M30_Z0.0014_step_fov0.04_f00.001,30.0,0.0014,step,0.04,0.001,5.57,4.56,5.414,10.49454,NA
inlist_M30_Z0.0014_step_fov0.04_f00.005,30.0,0.0014,step,0.04,0.005,5.56,4.559,5.413,10.40642,NA
inlist_M30_Z0.0014_step_fov0.04_f00.01,30.0,0.0014,step,0.04,0.01,5.55,4.56,5.411,10.31238,NA
inlist_M30_Z0.0140_exponential_fov0.01_f00.001,30.0,0.014,exponential,0.01,0.001,5.72,4.452,5.405,10.75171,NA
inlist_M30_Z0.0140_exponential_fov0.01_f00.005,30.0,0.014,exponential,0.01,0.005,5.73,4.451,5.406,10.80992,NA
inlist_M30_Z0.0140_exponential_fov0.01_f00.010,30.0,0.014,exponential,0.01,0.01,5.72,4.452,5.405,10.70509,NA
inlist_M30_Z0.0140_exponential_fov0.03_f00.001,30.0,0.014,exponential,0.03,0.001,6.14,4.36,5.464,12.77124,NA
inlist_M30_Z0.0140_exponential_fov0.03_f00.005,30.0,0.014,exponential,0.03,0.005,6.17,4.351,5.468,12.95797,NA
inlist_M30_Z0.0140_exponential_fov0.03_f00.01,30.0,0.014,exponential,0.03,0.01,6.17,4.349,5.469,13.02908,NA
inlist_M30_Z0.0140_exponential_fov0.10_f00.001,30.0,0.014,exponential,0.1,0.001,7.05,3.549,5.627,18.7192,NA
inlist_M30_Z0.0140_exponential_fov0.10_f00.005,30.0,0.014,exponential,0.1,0.005,7.11,3.549,5.644,19.22941,NA
inlist_M30_Z0.0140_exponential_fov0.10_f00.01,30.0,0.014,exponential,0.1,0.01,7.13,3.549,5.647,19.32185,NA
inlist_M30_Z0.0140_noovs,30.0,0.014,none,0.0,0.0,4.66,4.547,5.277,6.72377,NA
inlist_M30_Z0.0140_step_fov0.10_f00.001,30.0,0.014,step,0.1,0.001,5.73,4.452,5.406,10.80997,NA
inlist_M30_Z0.0140_step_fov0.10_f00.005,30.0,0.014,step,0.1,0.005,5.72,4.453,5.405,10.71683,NA
inlist_M30_Z0.0140_step_fov0.10_f00.01,30.0,0.014,step,0.1,0.01,5.71,4.454,5.403,10.67021,NA
inlist_M30_Z0.0140_step_fov0.30_f00.001,30.0,0.014,step,0.3,0.001,6.18,4.345,5.47,13.12471,NA
inlist_M30_Z0.0140_step_fov0.30_f00.005,30.0,0.014,step,0.3,0.005,6.17,4.347,5.469,13.01837,NA
inlist_M30_Z0.0140_step_fov0.30_f00.01,30.0,0.014,step,0.3,0.01,6.16,4.351,5.468,12.93617,NA
inlist_M5_Z0.0014_exponential_fov0.01_f00.001,5.0,0.0014,exponential,0.01,0.001,73.75,4.287,3.243,0.71848,NA
inlist_M5_Z0.0014_exponential_fov0.01_f00.005,5.0,0.0014,exponential,0.01,0.005,73.95,4.287,3.245,0.72353,NA
inlist_M5_Z0.0014_exponential_fov0.01_f00.010,5.0,0.0014,exponential,0.01,0.01,73.76,4.287,3.243,0.7205,NA
inlist_M5_Z0.0014_exponential_fov0.03_f00.001,5.0,0.0014,exponential,0.03,0.001,86.93,4.262,3.376,1.02792,NA
inlist_M5_Z0.0014_exponential_fov0.03_f00.005,5.0,0.0014,exponential,0.03,0.005,87.8,4.262,3.388,1.03515,NA
inlist_M5_Z0.0014_exponential_fov0.03_f00.01,5.0,0.0014,exponential,0.03,0.01,87.86,4.262,3.389,1.04343,NA
inlist_M5_Z0.0014_exponential_fov0.10_f00.001,5.0,0.0014,exponential,0.1,0.001,115.15,4.185,3.839,2.24275,NA
inlist_M5_Z0.0014_exponential_fov0.10_f00.005,5.0,0.0014,exponential,0.1,0.005,116.76,4.18,3.873,2.36432,NA
inlist_M5_Z0.0014_exponential_fov0.10_f00.01,5.0,0.0014,exponential,0.1,0.01,117.12,4.179,3.881,2.39038,NA
inlist_M5_Z0.0014_noovs,5.0,0.0014,none,0.0,0.0,47.37,4.298,3.041,0.27464,NA
inlist_M5_Z0.0014_step_fov0.02_f00.001,5.0,0.0014,step,0.02,0.001,64.5,4.296,3.165,0.56831,NA
inlist_M5_Z0.0014_step_fov0.02_f00.005,5.0,0.0014,step,0.02,0.005,62.01,4.296,3.144,0.50536,NA
inlist_M5_Z0.0014_step_fov0.02_f00.01,5.0,0.0014,step,0.02,0.01,57.33,4.296,3.107,0.41253,NA
inlist_M5_Z0.0014_step_fov0.04_f00.001,5.0,0.0014,step,0.04,0.001,68.89,4.292,3.201,0.6294,NA
inlist_M5_Z0.0014_step_fov0.04_f00.005,5.0,0.0014,step,0.04,0.005,68.64,4.293,3.198,0.63138,NA
inlist_M5_Z0.0014_step_fov0.04_f00.01,5.0,0.0014,step,0.04,0.01,67.94,4.293,3.193,0.61353,NA
inlist_M5_Z0.0140_exponential_fov0.01_f00.001,5.0,0.014,exponential,0.01,0.001,95.58,4.177,3.086,0.64416,NA
inlist_M5_Z0.0140_exponential_fov0.01_f00.005,5.0,0.014,exponential,0.01,0.005,95.82,4.177,3.088,0.6581,NA
inlist_M5_Z0.0140_exponential_fov0.01_f00.010,5.0,0.014,exponential,0.01,0.01,95.56,4.177,3.086,0.6581,NA
inlist_M5_Z0.0140_exponential_fov0.03_f00.001,5.0,0.014,exponential,0.03,0.001,113.1,4.146,3.218,0.92622,NA
inlist_M5_Z0.0140_exponential_fov0.03_f00.005,5.0,0.014,exponential,0.03,0.005,114.28,4.143,3.228,0.94474,NA
inlist_M5_Z0.0140_exponential_fov0.03_f00.01,5.0,0.014,exponential,0.03,0.01,114.36,4.142,3.229,0.94474,NA
inlist_M5_Z0.0140_exponential_fov0.10_f00.001,5.0,0.014,exponential,0.1,0.001,150.1,4.005,3.706,2.08607,NA
inlist_M5_Z0.0140_exponential_fov0.10_f00.005,5.0,0.014,exponential,0.1,0.005,152.09,3.994,3.744,2.21035,NA
inlist_M5_Z0.0140_exponential_fov0.10_f00.01,5.0,0.014,exponential,0.1,0.01,152.59,3.992,3.753,2.23195,NA
inlist_M5_Z0.0140_noovs,5.0,0.014,none,0.0,0.0,54.11,4.2,2.855,0.2269,NA
inlist_M5_Z0.0140_step_fov0.10_f00.001,5.0,0.014,step,0.1,0.001,94.65,4.179,3.08,0.64614,NA
inlist_M5_Z0.0140_step_fov0.10_f00.005,5.0,0.014,step,0.1,0.005,94.23,4.179,3.078,0.63621,NA
inlist_M5_Z0.0140_step_fov0.10_f00.01,5.0,0.014,step,0.1,0.01,93.78,4.18,3.075,0.63324,NA
inlist_M5_Z0.0140_step_fov0.30_f00.001,5.0,0.014,step,0.3,0.001,111.34,4.148,3.201,0.89539,NA
inlist_M5_Z0.0140_step_fov0.30_f00.005,5.0,0.014,step,0.3,0.005,110.95,4.149,3.198,0.88718,NA
inlist_M5_Z0.0140_step_fov0.30_f00.01,5.0,0.014,step,0.3,0.01,110.64,4.149,3.195,0.88,NA
